nombre,sexo,fecha_nacimiento,fecha_medicion,edad_meses,peso_kg,talla_cm,fecha_nac_exacta,fuente_archivo
Mystic Whirl,H,2015-04-17,2016-08-15,16,378.0,152.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-09-15,17,395.0,152.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-10-15,18,405.0,153.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-11-15,19,399.0,153.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-12-15,20,404.0,153.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-06-15,2,151.0,120.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-08-15,4,211.0,128.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-09-15,5,245.0,129.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-10-15,6,245.0,134.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-11-15,7,267.0,135.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2015-12-15,8,278.0,135.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-01-15,9,282.0,136.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-02-15,10,294.0,141.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-03-15,11,320.0,141.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-04-15,12,345.0,143.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-05-15,13,367.0,144.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-06-15,14,398.0,146.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-07-15,15,422.0,149.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-08-15,16,451.0,151.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-09-15,17,474.0,151.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-10-15,18,482.0,152.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-11-15,19,470.0,152.0,True,PESOS POTROS 2015.xlsx
New Idea,H,2015-04-05,2016-12-15,20,481.0,152.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-06-15,1,109.0,119.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-08-15,3,166.0,126.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-09-15,4,205.0,130.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-10-15,5,236.0,135.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-11-15,6,242.0,136.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2015-12-15,7,257.0,137.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-01-15,8,263.0,139.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-02-15,9,271.0,143.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-03-15,10,303.0,143.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-04-15,11,317.0,144.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-05-15,12,328.0,146.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-06-15,13,368.0,147.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-07-15,14,392.0,153.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-08-15,15,421.0,153.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-09-15,16,428.0,153.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-10-15,17,434.0,154.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-11-15,18,424.0,155.0,True,PESOS POTROS 2015.xlsx
Quality Baby,H,2015-05-03,2016-12-15,19,434.0,155.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-05-15,4,191.0,126.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-06-15,5,223.0,133.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-08-15,7,238.0,136.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-09-15,8,259.0,136.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-10-15,9,272.0,139.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-11-15,10,281.0,141.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2015-12-15,11,294.0,141.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-01-15,12,296.0,143.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-02-15,13,308.0,145.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-03-15,14,328.0,146.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-04-15,15,354.0,148.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-05-15,16,361.0,150.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-06-15,17,401.0,151.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-07-15,18,430.0,154.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-08-15,19,446.0,154.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-09-15,20,460.0,155.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-10-15,21,469.0,155.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-11-15,22,460.0,157.0,True,PESOS POTROS 2015.xlsx
Up Town Lady,H,2015-01-20,2016-12-15,23,473.0,157.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-06-15,4,191.0,131.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-08-15,6,242.0,135.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-09-15,7,246.0,136.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-10-15,8,266.0,139.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-11-15,9,280.0,140.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2015-12-15,10,294.0,140.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-01-15,11,299.0,141.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-02-15,12,299.0,145.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-03-15,13,320.0,145.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-04-15,14,336.0,148.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-05-15,15,381.0,150.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-06-15,16,390.0,151.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-07-15,17,412.0,155.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-08-15,18,422.0,155.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-09-15,19,445.0,155.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-10-15,20,462.0,155.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-11-15,21,445.0,155.0,True,PESOS POTROS 2015.xlsx
Wendy,H,2015-02-23,2016-12-15,22,440.0,155.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-06-15,3,144.0,120.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-08-15,5,190.0,127.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-09-15,6,235.0,132.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-10-15,7,242.0,135.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-11-15,8,271.0,136.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2015-12-15,9,283.0,137.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-01-15,10,283.0,138.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-02-15,11,297.0,141.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-03-15,12,325.0,143.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-04-15,13,351.0,145.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-05-15,14,367.0,147.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-06-15,15,392.0,147.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-07-15,16,411.0,151.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-08-15,17,438.0,152.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-09-15,18,445.0,153.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-10-15,19,460.0,154.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-11-15,20,459.0,154.0,True,PESOS POTROS 2015.xlsx
Wonder Baby,H,2015-03-20,2016-12-15,21,464.0,155.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-05-15,4,165.0,119.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-06-15,5,208.0,127.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-08-15,7,225.0,128.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-09-15,8,238.0,129.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-10-15,9,246.0,133.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-11-15,10,262.0,134.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2015-12-15,11,271.0,134.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-01-15,12,281.0,136.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-02-15,13,290.0,139.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-03-15,14,316.0,139.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-04-15,15,331.0,141.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-05-15,16,359.0,145.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-06-15,17,375.0,145.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-07-15,18,397.0,146.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-08-15,19,415.0,148.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-09-15,20,420.0,148.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-10-15,21,432.0,147.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-11-15,22,424.0,149.0,True,PESOS POTROS 2015.xlsx
Xanadu,H,2015-01-15,2016-12-15,23,437.0,149.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-06-15,2,144.0,122.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-08-15,4,219.0,131.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-09-15,5,253.0,134.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-10-15,6,253.0,138.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-11-15,7,276.0,139.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2015-12-15,8,289.0,140.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-01-15,9,289.0,140.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-02-15,10,305.0,144.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-03-15,11,348.0,145.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-04-15,12,359.0,148.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-05-15,13,389.0,149.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-06-15,14,418.0,150.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-07-15,15,443.0,154.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-08-15,16,458.0,154.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-09-15,17,456.0,154.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-10-15,18,487.0,155.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-11-15,19,466.0,156.0,True,PESOS POTROS 2015.xlsx
Xibelita,H,2015-04-04,2016-12-15,20,477.0,157.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-05-15,4,203.0,126.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-06-15,5,240.0,134.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-08-15,7,262.0,136.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-09-15,8,276.0,137.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-10-15,9,291.0,139.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-11-15,10,311.0,140.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2015-12-15,11,322.0,140.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-01-15,12,325.0,143.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-02-15,13,337.0,145.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-03-15,14,357.0,145.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-04-15,15,375.0,148.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-05-15,16,400.0,148.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-06-15,17,420.0,149.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-07-15,18,445.0,153.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-08-15,19,474.0,153.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-09-15,20,475.0,153.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-10-15,21,495.0,154.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-11-15,22,490.0,156.0,True,PESOS POTROS 2015.xlsx
Xisca,H,2015-01-02,2016-12-15,23,498.0,156.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-06-15,4,156.0,120.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-08-15,6,206.0,128.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-09-15,7,209.0,130.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-10-15,8,227.0,134.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-11-15,9,238.0,134.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2015-12-15,10,261.0,134.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-01-15,11,267.0,136.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-02-15,12,264.0,139.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-03-15,13,299.0,141.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-04-15,14,316.0,142.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-05-15,15,340.0,145.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-06-15,16,366.0,146.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-07-15,17,393.0,148.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-08-15,18,408.0,150.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-09-15,19,423.0,150.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-10-15,20,425.0,150.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-11-15,21,423.0,152.0,True,PESOS POTROS 2015.xlsx
Yaba Daba Du,H,2015-02-28,2016-12-15,22,428.0,152.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2015-12-15,9,225.0,138.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-01-15,10,235.0,138.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-02-15,11,247.0,143.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-04-15,13,298.0,147.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-05-15,14,318.0,150.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-06-15,15,336.0,148.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-07-15,16,351.0,152.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-08-15,17,368.0,154.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-09-15,18,383.0,155.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-10-15,19,403.0,156.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-11-15,20,400.0,157.0,True,PESOS POTROS 2015.xlsx
Laurzi,M,2015-03-29,2016-12-15,21,419.0,158.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-05-15,4,214.0,128.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-06-15,5,263.0,137.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-08-15,7,276.0,138.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-09-15,8,295.0,140.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-10-15,9,305.0,142.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-11-15,10,322.0,144.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2015-12-15,11,327.0,144.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-01-15,12,346.0,145.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-02-15,13,358.0,148.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-03-15,14,380.0,150.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-04-15,15,411.0,152.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-05-15,16,411.0,153.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-06-15,17,452.0,154.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-07-15,18,477.0,155.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-08-15,19,500.0,156.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-09-15,20,513.0,157.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-10-15,21,538.0,158.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-11-15,22,530.0,158.0,True,PESOS POTROS 2015.xlsx
Urban Legend,M,2015-01-15,2016-12-15,23,541.0,160.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-06-15,4,187.0,129.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-08-15,6,239.0,135.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-09-15,7,245.0,136.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-10-15,8,258.0,139.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-11-15,9,275.0,139.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2015-12-15,10,285.0,139.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-01-15,11,300.0,141.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-02-15,12,312.0,145.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-03-15,13,337.0,145.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-04-15,14,344.0,148.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-05-15,15,365.0,148.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-06-15,16,391.0,149.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-07-15,17,417.0,154.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-08-15,18,444.0,155.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-09-15,19,459.0,155.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-10-15,20,466.0,155.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-11-15,21,470.0,155.0,True,PESOS POTROS 2015.xlsx
Wild Cherry,M,2015-02-25,2016-12-15,22,470.0,155.0,True,PESOS POTROS 2015.xlsx
Winds,M,2015-01-21,2015-05-15,4,196.0,130.0,True,PESOS POTROS 2015.xlsx
Winds,M,2015-01-21,2015-06-15,5,238.0,141.0,True,PESOS POTROS 2015.xlsx
Winds,M,2015-01-21,2015-08-15,7,258.0,141.0,True,PESOS POTROS 2015.xlsx
Winds,M,2015-01-21,2015-09-15,8,283.0,142.0,True,PESOS POTROS 2015.xlsx
